Version 1, Lidar Scan Data 
 
FOV: 3.141592653589793  AngleResolution: 0.017453292519943295
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[0, 0]0
[150.0, 0.0]0
[149.934975, 0.0]0
[149.708533416036, 0.0]0
[149.36895889149008, 0.0]0
[148.9010499399891, 0.0]0
[148.30625399323995, 0.0]0
[147.58644944314534, 0.0]0
[146.74393287748276, 0.0]0
[145.84146815420183, 0.0]0
[144.7688151558203, 0.0]0
[143.5824653638804, 0.0]0
